correctTag,targetWord,orderingId,sessionId,draggedTag,serie
Substantivo,relatório,11,3DzMfiKm3b,Verbo,6-ensino-fundamental
Pronome,ele,6,BCabI356eF,Pronome,6-ensino-fundamental
Verbo Auxiliar,esteja,4,crHYjw__Pw,Advérbio,6-ensino-fundamental
Substantivo,ônibus,9,ES0HKWNgci,Substantivo,6-ensino-fundamental
Substantivo,relatório,12,3DzMfiKm3b,Preposição,6-ensino-fundamental
Verbo Auxiliar,esteja,5,crHYjw__Pw,Conjunção Subordinativa,6-ensino-fundamental
Advérbio,antes,23,7mqg6cDV_J,Advérbio,6-ensino-fundamental
Substantivo,relatório,13,3DzMfiKm3b,Substantivo,6-ensino-fundamental
Verbo Auxiliar,esteja,6,crHYjw__Pw,Verbo Auxiliar,6-ensino-fundamental
Substantivo,ponto,7,BCabI356eF,Preposição,6-ensino-fundamental
Artigo,o,14,3DzMfiKm3b,Advérbio,6-ensino-fundamental
Preposição,de,32,YQ2msWqUKx,Preposição,6-ensino-fundamental
Substantivo,parque,7,crHYjw__Pw,Substantivo,6-ensino-fundamental
Artigo,o,15,3DzMfiKm3b,Conjunção Subordinativa,6-ensino-fundamental
Substantivo,vista,8,BCabI356eF,Verbo,6-ensino-fundamental
Preposição+Artigo,da,24,7mqg6cDV_J,Advérbio,6-ensino-fundamental
Artigo,o,16,3DzMfiKm3b,Verbo,6-ensino-fundamental
Preposição+Artigo,da,25,7mqg6cDV_J,Substantivo,6-ensino-fundamental
Preposição,de,9,BCabI356eF,Verbo,6-ensino-fundamental
Pronome,demais,10,BCabI356eF,Verbo,6-ensino-fundamental
Conjunção Subordinativa,que,8,crHYjw__Pw,Verbo,6-ensino-fundamental
Preposição+Artigo,da,26,7mqg6cDV_J,Preposição+Artigo,6-ensino-fundamental
Preposição+Artigo,do,11,BCabI356eF,Verbo,6-ensino-fundamental
Artigo,o,17,3DzMfiKm3b,Preposição,6-ensino-fundamental
Pronome,Ela,33,YQ2msWqUKx,Pronome,6-ensino-fundamental
Artigo,seu,12,BCabI356eF,Verbo,6-ensino-fundamental
Conjunção Subordinativa,Quando,14,nAF45HKVn3,Pontuação,6-ensino-fundamental
Artigo,o,18,3DzMfiKm3b,Verbo,6-ensino-fundamental
Conjunção Subordinativa,que,9,crHYjw__Pw,Conjunção Subordinativa,6-ensino-fundamental
Substantivo,ponto,13,BCabI356eF,Substantivo,6-ensino-fundamental
Artigo,o,19,3DzMfiKm3b,Artigo,6-ensino-fundamental
Advérbio,Mesmo,10,crHYjw__Pw,Advérbio,6-ensino-fundamental
Verbo,entregar,20,3DzMfiKm3b,Substantivo,6-ensino-fundamental
Preposição,Por,14,BCabI356eF,Pronome,6-ensino-fundamental
Substantivo,publicação,27,7mqg6cDV_J,Substantivo,6-ensino-fundamental
Verbo,entregar,21,3DzMfiKm3b,Preposição,6-ensino-fundamental
Preposição+Artigo,ao,11,crHYjw__Pw,Preposição+Artigo,6-ensino-fundamental
Verbo,entregar,22,3DzMfiKm3b,Pronome,6-ensino-fundamental
Pontuação,.,0,YkpVe-pHql,Pontuação,6-ensino-fundamental
Verbo,entregar,23,3DzMfiKm3b,Verbo,6-ensino-fundamental
Verbo,iremos,12,crHYjw__Pw,Verbo,6-ensino-fundamental
Conjunção Subordinativa,Quando,15,nAF45HKVn3,Conjunção Subordinativa,6-ensino-fundamental
Advérbio,mais,15,BCabI356eF,Artigo,6-ensino-fundamental
Conjunção Subordinativa,de,24,3DzMfiKm3b,Preposição,6-ensino-fundamental
Preposição+Artigo,do,28,7mqg6cDV_J,Advérbio,6-ensino-fundamental
Conjunção Subordinativa,de,25,3DzMfiKm3b,Substantivo,6-ensino-fundamental
Verbo,insistisse,16,BCabI356eF,Advérbio,6-ensino-fundamental
Conjunção Subordinativa,de,26,3DzMfiKm3b,Pronome,6-ensino-fundamental
Substantivo,filme,1,YkpVe-pHql,Advérbio,6-ensino-fundamental
Conjunção Subordinativa,de,27,3DzMfiKm3b,Conjunção Subordinativa,6-ensino-fundamental
Preposição+Artigo,do,29,7mqg6cDV_J,Preposição+Artigo,6-ensino-fundamental
Preposição+Artigo,do,17,BCabI356eF,Verbo,6-ensino-fundamental
Substantivo,filme,2,YkpVe-pHql,Preposição+Artigo,6-ensino-fundamental
Verbo,esqueça,28,3DzMfiKm3b,Advérbio,6-ensino-fundamental
Substantivo,filme,3,YkpVe-pHql,Substantivo,6-ensino-fundamental
Substantivo,documentos,16,nAF45HKVn3,Verbo Auxiliar,6-ensino-fundamental
Verbo,esqueça,29,3DzMfiKm3b,Verbo,6-ensino-fundamental
Verbo,gostou,4,YkpVe-pHql,Preposição+Artigo,6-ensino-fundamental
Advérbio,cuidadosamente,30,7mqg6cDV_J,Advérbio,6-ensino-fundamental
Preposição+Artigo,do,5,YkpVe-pHql,Advérbio,6-ensino-fundamental
Pronome,se,30,3DzMfiKm3b,Pronome,6-ensino-fundamental
Artigo,seu,18,BCabI356eF,Advérbio,6-ensino-fundamental
Verbo,analisados,31,7mqg6cDV_J,Verbo,6-ensino-fundamental
Pontuação,.,17,nAF45HKVn3,Pontuação,6-ensino-fundamental
Verbo,gostou,6,YkpVe-pHql,Nome Próprio,6-ensino-fundamental
Verbo,gostou,7,YkpVe-pHql,Verbo,6-ensino-fundamental
Artigo,seu,19,BCabI356eF,Advérbio,6-ensino-fundamental
Verbo,cresce,0,N1-7NDxxJF,Verbo,6-ensino-fundamental
Advérbio,não,8,YkpVe-pHql,Preposição+Artigo,6-ensino-fundamental
Advérbio,rápido,1,N1-7NDxxJF,Substantivo,6-ensino-fundamental
Advérbio,não,9,YkpVe-pHql,Nome Próprio,6-ensino-fundamental
