correctTag,targetWord,eventType,orderingId,sessionId,draggedTag
Artigo,O,interaction,2,q4JF64szJa,Preposição+Artigo
Preposição+Artigo,da,interaction,26,4zU1hox2-7,Preposição+Artigo
Substantivo,respeito,interaction,8,1RxmjPo-Nw,Preposição
Verbo,trabalhando,interaction,8,k4ynYAr1nq,Verbo de Ligação
Nome Próprio,João,interaction,0,uq-mw8tBDG,Nome Próprio
Substantivo,surpresa,interaction,27,4zU1hox2-7,Conjunção Subordinativa
Adjetivo,gentil,interaction,9,1RxmjPo-Nw,Adjetivo
Verbo,trabalhando,interaction,9,k4ynYAr1nq,Conjunção Subordinativa
Substantivo,surpresa,interaction,28,4zU1hox2-7,Pronome
Advérbio,sempre,interaction,1,uq-mw8tBDG,Advérbio
Substantivo,surpresa,interaction,29,4zU1hox2-7,Verbo
Artigo,os,interaction,10,1RxmjPo-Nw,Substantivo
Verbo,trabalhando,interaction,10,k4ynYAr1nq,Pontuação
Substantivo,surpresa,interaction,30,4zU1hox2-7,Pronome
Verbo,estuda,interaction,2,uq-mw8tBDG,Verbo
Substantivo,respeito,interaction,11,1RxmjPo-Nw,Verbo de Ligação
Substantivo,surpresa,interaction,31,4zU1hox2-7,Verbo
Verbo,trabalhando,interaction,11,k4ynYAr1nq,Verbo
Substantivo,menino,interaction,3,q4JF64szJa,Substantivo
Substantivo,surpresa,interaction,32,4zU1hox2-7,Substantivo
Advérbio,antes,interaction,3,uq-mw8tBDG,Substantivo
Substantivo,respeito,interaction,12,1RxmjPo-Nw,Preposição
Pronome,que,interaction,33,4zU1hox2-7,Verbo
Advérbio,antes,interaction,4,uq-mw8tBDG,Advérbio
Verbo,continuou,interaction,12,k4ynYAr1nq,Verbo
Pronome,que,interaction,34,4zU1hox2-7,Pronome
Artigo,O,interaction,4,q4JF64szJa,Artigo
Artigo,os,interaction,13,1RxmjPo-Nw,Pronome
Nome Próprio,Ana,interaction,13,k4ynYAr1nq,Nome Próprio
Verbo,preparamos,interaction,35,4zU1hox2-7,Pronome
Preposição+Artigo,das,interaction,5,uq-mw8tBDG,Preposição+Artigo
Artigo,o,interaction,5,q4JF64szJa,Artigo
Substantivo,provas,interaction,6,uq-mw8tBDG,Pontuação
Pontuação,",",interaction,14,k4ynYAr1nq,Pontuação
